DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,AT34,2009,87,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,AT34,2010,89.1,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,ATZZ,2000,111.8,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,ATZZ,2001,106.2,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,ATZZ,2002,94.5,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,ATZZ,2003,96.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,ATZZ,2004,95,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,ATZZ,2005,97,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,ATZZ,2006,106.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,ATZZ,2007,102.2,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,ATZZ,2008,105.9,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,ATZZ,2009,115.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,ATZZ,2010,114.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE10,2000,84.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE10,2001,86.9,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE10,2002,89,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE10,2003,88.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE10,2004,90.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE10,2005,91.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE10,2006,94.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE10,2007,96.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE10,2008,96.8,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE10,2009,94.5,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE10,2010,96.5,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE21,2000,74.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE21,2001,74.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE21,2002,76.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE21,2003,77.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE21,2004,80.8,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE21,2005,84.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE21,2006,85.1,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE21,2007,88.9,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE21,2008,90,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE21,2009,88,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE21,2010,90.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE22,2000,79.5,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE22,2001,80.9,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE22,2002,82.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE22,2003,83.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE22,2004,84.9,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE22,2005,85.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE22,2006,88.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE22,2007,92.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE22,2008,94.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE22,2009,88.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE22,2010,92.1,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE23,2000,74.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE23,2001,75.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE23,2002,77.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE23,2003,79,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE23,2004,81.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE23,2005,82.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE23,2006,85.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE23,2007,89.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE23,2008,89.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE23,2009,89.1,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE23,2010,91.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE24,2000,73,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE24,2001,75.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE24,2002,75.1,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE24,2003,76.9,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE24,2004,79.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE24,2005,81.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE24,2006,85.1,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE24,2007,88.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE24,2008,89.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE24,2009,90.1,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE24,2010,91.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE25,2000,77.9,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE25,2001,78.8,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE25,2002,79.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE25,2003,80.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE25,2004,83.2,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE25,2005,84.9,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE25,2006,88.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE25,2007,92.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE25,2008,91.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE25,2009,89.2,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE25,2010,91.9,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE31,2000,65,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE31,2001,67.1,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE31,2002,69.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE31,2003,69.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE31,2004,74.1,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE31,2005,78.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE31,2006,77,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE31,2007,82.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE31,2008,83.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE31,2009,84.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE31,2010,93.8,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE32,2000,84.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE32,2001,84.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE32,2002,84.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE32,2003,86.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE32,2004,90.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE32,2005,91.8,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE32,2006,92.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE32,2007,95.2,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE32,2008,97.2,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE32,2009,92.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE32,2010,95.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE33,2000,84.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE33,2001,85,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE33,2002,85.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE33,2003,85.8,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE33,2004,88.5,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE33,2005,90.2,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE33,2006,91.5,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE33,2007,94.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE33,2008,95.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE33,2009,93.9,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE33,2010,95.9,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE34,2000,85.1,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE34,2001,84.1,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE34,2002,85.9,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE34,2003,86.2,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE34,2004,87.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE34,2005,90.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE34,2006,93.8,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE34,2007,95.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE34,2008,94.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE34,2009,93.2,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE34,2010,95.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE35,2000,80.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE35,2001,81.2,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE35,2002,82.4,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE35,2003,84.1,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE35,2004,86.5,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE35,2005,88.5,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE35,2006,90.6,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE35,2007,92.3,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE35,2008,94.7,
ESTAT:NAMA_10R_2GVAGR(1.0),11/04/23 23:00:00,A,B1G,I15,BE35,2009,93.3,
